id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province
AVwd0Hp5IN2L1WUfzdOB,3524 S 99W,"Carry-out food,Tire dealers,Delicatessens,Diesel fuel,Self service laundries,American restaurants,Fast Food Restaurants,Take Out Restaurants,Truck stops,Restaurants,Delis And Delicatessens,Automated teller machines (atm),Fast Food Restaurant,wich Place,Sandwiches,Truck repairing and service,Sandwich Place,Sandwich Shops",Corning,US,us/ca/corning/3524s99w/-891525969,39.904329,-122.198465,Subway,96021,CA
AVwdY_I6_7pvs4fz5Y0o,1688 N Perris Blvd,"Hamburgers & Hot Dogs,Fast Food Restaurant,Fast Food Restaurants,Restaurants",Perris,US,us/ca/perris/1688nperrisblvd/-2061630068,33.803001,-117.226527,Burger King,92571,CA
AVwde_Y3kufWRAb56WkW,17085 Brookhurst St,"Restaurant,Burger Joint,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food,Fast food restaurants,Restaurants,Burger Joint and Fast Food Restaurant",Fountain Valley,US,us/ca/fountainvalley/17085brookhurstst/554191587,33.714439,-117.954926,Carls Jr,92708,CA
AVweCcWXIN2L1WUf1ciu,2150 Panama Ln,"Restaurant,Burger Joint,Take Out,Fast Food Restaurant,Fast Food Restaurants,Burger Restaurants,Restaurants",Bakersfield,US,us/ca/bakersfield/2150panamaln/-791445730,35.296234,-119.02636,Wendys,93307,CA
AV2garYeIxWefVJwi2uf,4973 Yorba Ranch Rd Ste C,"Pizza,Food Delivery,Take Out Restaurants,Fast Food Restaurants,Pizza Place,Restaurants",Yorba Linda,US,us/ca/yorbalinda/4973yorbaranchrdstec/-1055723171,33.889731,-117.764591,Dominos Pizza,92887,CA
AWpTN5-vZ4Yw-wtdaHVD,"2740 Mission St.,","Fried Chicken Joint,Fast Food Restaurant,Latin American Restaurant",San Francisco,US,"us/ca/sanfrancisco/2740missionst.,/-1272819535",37.753116,-122.418776,Pollo Campero,94110,CA
AVwchvzz_7pvs4fzwEda,1665 Countryside Dr,"American Restaurants,Restaurant,Buffet,American Restaurant,Fast Food Restaurant,Burger Restaurants,Family Restaurants,Restaurants,Buffet Restaurants",Turlock,US,us/ca/turlock/1665countrysidedr/-550505613,37.508109,-120.877225,HomeTown Buffet,95380,CA
AVwcxM_QIN2L1WUfosGS,1120 Broadway,"Restaurant,Chinese Restaurant,Carry-out food,Caterers,Fast Food,Chinese,Catering,Restaurants,Chinese restaurants",Chula Vista,US,us/ca/chulavista/1120broadway/-1191797674,32.60904,-117.08132,Panda Express,91911,CA
AVwcfy6XByjofQCxe4iH,1200 Athens Ave,"Coffee Shop and Caf,Nightclub, Bar, and Cocktail Bar,American Restaurant,Fast Food Restaurants,Caf,Restaurants,Burger Joint and American Restaurant,Restaurant,Burger Joint,American Restaurants,Bar and Lounge,Bar,Casino,Steakhouse,Hamburgers and Hot Dogs",Lincoln,US,us/ca/lincoln/1200athensave/365568206,38.840501,-121.313917,Fatburger,95648,CA
AVwdu0QZIN2L1WUfyru5,2779 Aborn Rd,"Take Out,Mexican Restaurants,Mexican,Breakfast,Vegetarian,Fast Food Restaurants,Fast Food,Restaurants,Mexican Restaurant,Fast Food Restaurant and Mexican Restaurant,Restaurant,Fast Food Restaurant and Mexican Restaurant Evergreen,Fast Food Restaurant,Family Restaurants",San Jose,US,us/ca/sanjose/2779abornrd/-864103396,37.31418,-121.792902,Taco Bell,95121,CA
AVwdxyUjIN2L1WUfzH-u,14304 Ocean Gate Ave,"Restaurant,Carry-out food,Delicatessens,wich Place,Fast Food,Sandwiches,Sandwich Place,Restaurants",Hawthorne,US,us/ca/hawthorne/14304oceangateave/-891525969,33.901447,-118.366083,SUBWAY,90250,CA
AVzBD4Gd3D1zeR_xBGGW,927 Broadway,"Delis And Delicatessens,Restaurant,Fast Food Restaurant,wich Place,Fast Food,Sandwich Place,Restaurants,Sandwich Shops",Sonoma,US,us/ca/sonoma/927broadway/-891525969,38.284128,-122.459615,Subway,95476,CA
AVyoGbThgXLl9CNj_EUE,11047 Santa Monica Blvd,"Restaurant,Salad Place,Fast Food Restaurant,wich Place,Sandwich Place,Salad",Los Angeles,US,us/ca/losangeles/11047santamonicablvd/-211290057,34.048173,-118.44321,Saladfarm,90025,CA
AVweEnxUIN2L1WUf1vX-,13850 Peyton Dr,"Burger Joint,Restaurant,Carry-out food,Breakfast,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food,Chicken,Hamburgers,Restaurants",Chino Hills,US,us/ca/chinohills/13850peytondr/-230519289,34.001441,-117.733194,Jack in the Box,91709,CA
AWo-YEf-cuP9ADUB6i-J,1320 W Base Line Road,"Restaurants,Fast Food,Takeout,Chicken Takeout,Accounting and Bookkeeping",Rialto,US,us/ca/rialto/1320wbaselineroad/-624847056,34.12153,-117.39742,Popeyes Louisiana Kitchen,92376,CA
AVwcu-mA_7pvs4fzyYSn,8960 Brooks Rd S,"Asian Restaurants,Restaurant,Japanese Restaurants,Japanese Restaurant,Take Out Restaurants,Fast Food Restaurants,Sushi Bars,Family Style Restaurants,Japanese,Restaurants",Windsor,US,us/ca/windsor/8960brooksrds/1505675413,38.549061,-122.807339,Senju Japanese Restaurant,95492,CA
AVwc3TPnIN2L1WUfpuqn,1701 Story Rd,"Fast Food Restaurant and Mexican Restaurant,Mexican Restaurant,Restaurant,Fast Food Restaurant,Restaurants",San Jose,US,us/ca/sanjose/1701storyrd/-981164808,37.340266,-121.843131,El Pollo Loco,95122,CA
AVwc3ULckufWRAb5z06n,1150 S King Rd,"Take Out,Wings Joint and Fried Chicken Joint,Wings Joint,Fast Food Restaurants,Chicken Restaurants,Restaurants,Chicken Take Out",San Jose,US,us/ca/sanjose/1150skingrd/-1112491379,37.339202,-121.84206,Wingstop,95122,CA
AVz5xj8BFcQ3k02bDe47,44764 Valley Central Way,"Restaurant,Carry-out food,Delicatessens,Fast Food Restaurant,wich Place,Fast Food,Sandwiches,Sandwich Place,Restaurants",Lancaster,US,us/ca/lancaster/44764valleycentralway/-891525969,34.695977,-118.170665,SUBWAY,93536,CA
